 initial abundance for selected isotopes
  446   0.00000E+00  CA 70
  447   0.00000E+00  CA 71
  448   0.00000E+00  CA 72
  449   0.00000E+00  CA 73
  450   0.00000E+00  SC 32
  451   0.00000E+00  SC 33
  452   0.00000E+00  SC 34
  453   0.00000E+00  SC 35
  454   0.00000E+00  SC 36
  455   0.00000E+00  SC 37
  456   0.00000E+00  SC 38
  457   0.00000E+00  SC 39
  458   0.00000E+00  SC 40
  459   4.51384E-20  SC 41
  460   2.41019E-18  SC 42
  461   4.81216E-09  SC 43
  462   7.27684E-08  SC 44
  463   1.22074E-06  SC 45
  464   8.99230E-07  SC 46
  465   6.24459E-07  SC 47
  466   2.86001E-07  SC 48
  467   5.20830E-08  SC 49
  468   6.61604E-12  SC 50
  469   1.77528E-22  SC 51
  470   0.00000E+00  SC 52
  471   0.00000E+00  SC 53
  472   0.00000E+00  SC 54
  473   0.00000E+00  SC 55
  474   0.00000E+00  SC 56
  475   0.00000E+00  SC 57
  476   0.00000E+00  SC 58
  477   0.00000E+00  SC 59
  478   0.00000E+00  SC 60
  479   0.00000E+00  SC 61
  480   0.00000E+00  SC 62
  481   0.00000E+00  SC 63
  482   0.00000E+00  SC 64
  483   0.00000E+00  SC 65
  484   0.00000E+00  SC 66
  485   0.00000E+00  SC 67
  486   0.00000E+00  SC 68
  487   0.00000E+00  SC 69
  488   0.00000E+00  SC 70
  489   0.00000E+00  SC 71
  490   0.00000E+00  SC 72
  491   0.00000E+00  SC 73
  492   0.00000E+00  SC 74
  493   0.00000E+00  SC 75
  494   0.00000E+00  SC 76
  495   0.00000E+00  TI 34
  496   0.00000E+00  TI 35
  497   0.00000E+00  TI 36
  498   0.00000E+00  TI 37
  499   0.00000E+00  TI 38
  500   0.00000E+00  TI 39
  501   0.00000E+00  TI 40
  502   0.00000E+00  TI 41
  503   0.00000E+00  TI 42
  504   0.00000E+00  TI 43
  505   3.54806E-09  TI 44
  506   3.46057E-10  TI 45
  507   2.80341E-07  TI 46
  508   2.13630E-07  TI 47
  509   9.26952E-07  TI 48
  510   8.54369E-07  TI 49
  511   3.17945E-06  TI 50
  512   7.53416E-09  TI 51
  513   4.02691E-10  TI 52
  514   1.12550E-20  TI 53
  515   0.00000E+00  TI 54
  516   0.00000E+00  TI 55
